,0,1,2,3,4
0,"[-36.88916156, 174.7935037]","[-36.8705446, 174.7754093]","[-36.84853355, 174.7648512]","[-36.84496186, 174.7731192]","[-36.90796057, 174.7559072]"
1,"[-37.01734442, 174.8651097]","[-37.04764284, 174.9279243]","[-37.0589478, 174.9414297]","[-37.06390487, 174.9447236]","[-36.99736985, 174.7888823]"
2,"[-36.87718131, 174.7523352]","[-36.86311836, 174.7385667]","[-36.8584399, 174.7491386]","[-36.85144346, 174.7318719]","[-36.92249969, 174.7838024]"
3,"[-36.90203359, 174.7356996]","[-36.88336862, 174.7347459]","[-36.86957431, 174.7105595]","[-36.92514077, 174.7239957]",
4,"[-36.92972626, 174.9110718]","[-36.9132518, 174.929465]","[-36.89585201, 174.9335377]","[-36.89887827, 174.9065699]","[-36.91284146, 174.8714299]"
5,"[-36.9657908, 174.825346]","[-36.97039494, 174.862111]","[-36.98676855, 174.8848148]","[-36.99174967, 174.8831931]","[-36.96987802, 174.8011202]"
6,"[-36.9093147, 174.837989]","[-36.87888192, 174.8548393]","[-36.87610706, 174.8289359]","[-36.91713855, 174.8418202]",
7,"[-36.90955497, 174.6638042]","[-36.88089456, 174.6332277]","[-36.86472278, 174.6476292]","[-36.84209292, 174.6542381]","[-36.92291876, 174.7023521]"
8,"[-36.8568778, 174.6325126]","[-36.82092949, 174.6146464]","[-36.81879206, 174.6129291]","[-36.79748845, 174.6487257]","[-36.90687152, 174.6850146]"
9,"[-36.75907026, 174.7406941]","[-36.73941255, 174.7540551]","[-36.71714479, 174.7472772]","[-36.80035237, 174.7455338]",
10,"[-36.79125414, 174.7662056]","[-36.77197217, 174.7666177]","[-36.79667981, 174.7781249]",,
11,"[-36.78148813, 174.7234262]","[-36.81111802, 174.7248776]",,,
