,Store_type,Date,Demand_Value
0,Countdown,2021-06-19,5
1,Countdown,2021-06-19,2
2,Countdown,2021-06-19,6
3,Countdown,2021-06-19,5
4,Countdown,2021-06-19,2
5,Countdown,2021-06-19,2
6,Countdown,2021-06-19,2
7,Countdown,2021-06-19,6
8,Countdown,2021-06-19,4
9,Countdown,2021-06-19,2
10,Countdown,2021-06-19,6
11,Countdown,2021-06-19,2
12,Countdown,2021-06-19,5
13,Countdown,2021-06-19,6
14,Countdown,2021-06-19,3
15,Countdown,2021-06-19,4
16,Countdown,2021-06-19,4
17,Countdown,2021-06-19,6
18,Countdown,2021-06-19,4
19,Countdown,2021-06-19,2
20,Countdown,2021-06-19,4
21,Countdown,2021-06-19,2
22,Countdown,2021-06-19,6
23,Countdown,2021-06-19,5
24,Countdown,2021-06-19,4
25,Countdown,2021-06-19,3
26,Countdown,2021-06-19,3
27,Countdown,2021-06-19,2
28,Countdown,2021-06-19,5
29,Countdown,2021-06-19,4
30,Countdown,2021-06-19,6
31,Countdown,2021-06-19,2
32,Countdown,2021-06-19,3
33,Countdown,2021-06-19,2
34,Countdown,2021-06-19,6
35,Countdown,2021-06-19,2
36,Countdown,2021-06-19,3
37,Countdown,2021-06-19,3
38,Countdown,2021-06-19,3
39,Countdown,2021-06-19,3
40,Countdown,2021-06-19,6
41,Countdown,2021-06-19,5
42,Countdown,2021-06-19,2
43,Countdown,2021-06-19,2
44,Countdown,2021-06-19,2
45,Countdown,2021-06-19,5
46,Countdown,2021-06-19,2
47,Countdown,2021-06-19,2
48,Countdown,2021-06-19,5
49,Countdown,2021-06-19,2
50,Countdown,2021-06-19,5
51,Countdown,2021-06-19,5
52,Countdown,2021-06-26,5
53,Countdown,2021-06-26,4
54,Countdown,2021-06-26,6
55,Countdown,2021-06-26,2
56,Countdown,2021-06-26,2
57,Countdown,2021-06-26,4
58,Countdown,2021-06-26,4
59,Countdown,2021-06-26,3
60,Countdown,2021-06-26,4
61,Countdown,2021-06-26,3
62,Countdown,2021-06-26,6
63,Countdown,2021-06-26,4
64,Countdown,2021-06-26,3
65,Countdown,2021-06-26,6
66,Countdown,2021-06-26,4
67,Countdown,2021-06-26,5
68,Countdown,2021-06-26,4
69,Countdown,2021-06-26,4
70,Countdown,2021-06-26,5
71,Countdown,2021-06-26,5
72,Countdown,2021-06-26,3
73,Countdown,2021-06-26,3
74,Countdown,2021-06-26,6
75,Countdown,2021-06-26,2
76,Countdown,2021-06-26,2
77,Countdown,2021-06-26,5
78,Countdown,2021-06-26,3
79,Countdown,2021-06-26,3
80,Countdown,2021-06-26,3
81,Countdown,2021-06-26,5
82,Countdown,2021-06-26,3
83,Countdown,2021-06-26,4
84,Countdown,2021-06-26,6
85,Countdown,2021-06-26,6
86,Countdown,2021-06-26,3
87,Countdown,2021-06-26,4
88,Countdown,2021-06-26,3
89,Countdown,2021-06-26,2
90,Countdown,2021-06-26,4
91,Countdown,2021-06-26,5
92,Countdown,2021-06-26,5
93,Countdown,2021-06-26,2
94,Countdown,2021-06-26,4
95,Countdown,2021-06-26,2
96,Countdown,2021-06-26,2
97,Countdown,2021-06-26,5
98,Countdown,2021-06-26,2
99,Countdown,2021-06-26,2
100,Countdown,2021-06-26,4
101,Countdown,2021-06-26,4
102,Countdown,2021-06-26,5
103,Countdown,2021-06-26,6
104,Countdown,2021-07-03,6
105,Countdown,2021-07-03,3
106,Countdown,2021-07-03,9
107,Countdown,2021-07-03,6
108,Countdown,2021-07-03,3
109,Countdown,2021-07-03,3
110,Countdown,2021-07-03,6
111,Countdown,2021-07-03,6
112,Countdown,2021-07-03,2
113,Countdown,2021-07-03,2
114,Countdown,2021-07-03,6
115,Countdown,2021-07-03,5
116,Countdown,2021-07-03,6
117,Countdown,2021-07-03,6
118,Countdown,2021-07-03,5
119,Countdown,2021-07-03,5
120,Countdown,2021-07-03,6
121,Countdown,2021-07-03,2
122,Countdown,2021-07-03,5
123,Countdown,2021-07-03,4
124,Countdown,2021-07-03,4
125,Countdown,2021-07-03,4
126,Countdown,2021-07-03,6
127,Countdown,2021-07-03,3
128,Countdown,2021-07-03,6
129,Countdown,2021-07-03,4
130,Countdown,2021-07-03,2
131,Countdown,2021-07-03,3
132,Countdown,2021-07-03,6
133,Countdown,2021-07-03,2
134,Countdown,2021-07-03,4
135,Countdown,2021-07-03,4
136,Countdown,2021-07-03,3
137,Countdown,2021-07-03,2
138,Countdown,2021-07-03,2
139,Countdown,2021-07-03,3
140,Countdown,2021-07-03,6
141,Countdown,2021-07-03,4
142,Countdown,2021-07-03,4
143,Countdown,2021-07-03,5
144,Countdown,2021-07-03,3
145,Countdown,2021-07-03,3
146,Countdown,2021-07-03,2
147,Countdown,2021-07-03,5
148,Countdown,2021-07-03,5
149,Countdown,2021-07-03,5
150,Countdown,2021-07-03,4
151,Countdown,2021-07-03,5
152,Countdown,2021-07-03,2
153,Countdown,2021-07-03,4
154,Countdown,2021-07-03,2
155,Countdown,2021-07-03,5
156,Countdown,2021-07-10,3
157,Countdown,2021-07-10,5
158,Countdown,2021-07-10,3
159,Countdown,2021-07-10,4
160,Countdown,2021-07-10,2
161,Countdown,2021-07-10,5
162,Countdown,2021-07-10,5
163,Countdown,2021-07-10,3
164,Countdown,2021-07-10,4
165,Countdown,2021-07-10,5
166,Countdown,2021-07-10,4
167,Countdown,2021-07-10,6
168,Countdown,2021-07-10,3
169,Countdown,2021-07-10,6
170,Countdown,2021-07-10,4
171,Countdown,2021-07-10,2
172,Countdown,2021-07-10,4
173,Countdown,2021-07-10,2
174,Countdown,2021-07-10,2
175,Countdown,2021-07-10,3
176,Countdown,2021-07-10,3
177,Countdown,2021-07-10,6
178,Countdown,2021-07-10,6
179,Countdown,2021-07-10,5
180,Countdown,2021-07-10,2
181,Countdown,2021-07-10,5
182,Countdown,2021-07-10,4
183,Countdown,2021-07-10,6
184,Countdown,2021-07-10,5
185,Countdown,2021-07-10,6
186,Countdown,2021-07-10,2
187,Countdown,2021-07-10,3
188,Countdown,2021-07-10,6
189,Countdown,2021-07-10,3
190,Countdown,2021-07-10,4
191,Countdown,2021-07-10,4
192,Countdown,2021-07-10,6
193,Countdown,2021-07-10,2
194,Countdown,2021-07-10,2
195,Countdown,2021-07-10,5
196,Countdown,2021-07-10,5
197,Countdown,2021-07-10,4
198,Countdown,2021-07-10,4
199,Countdown,2021-07-10,4
200,Countdown,2021-07-10,5
201,Countdown,2021-07-10,3
202,Countdown,2021-07-10,2
203,Countdown,2021-07-10,6
204,Countdown,2021-07-10,3
205,Countdown,2021-07-10,6
206,Countdown,2021-07-10,4
207,Countdown,2021-07-10,6
