,0,1,2,3
0,"[-36.86311836, 174.7385667]","[-36.85144346, 174.7318719]","[-36.90796057, 174.7559072]",
1,"[-36.87718131, 174.7523352]","[-36.8705446, 174.7754093]","[-36.88916156, 174.7935037]",
2,"[-37.04764284, 174.9279243]","[-37.0589478, 174.9414297]","[-37.01734442, 174.8651097]",
3,"[-36.8584399, 174.7491386]","[-36.84853355, 174.7648512]","[-36.90203359, 174.7356996]",
4,"[-36.88336862, 174.7347459]","[-36.86957431, 174.7105595]","[-36.92514077, 174.7239957]",
5,"[-36.92249969, 174.7838024]",,,
6,"[-36.89887827, 174.9065699]","[-36.89933061, 174.9084309]","[-36.91284146, 174.8714299]",
7,"[-36.92972626, 174.9110718]","[-36.9132518, 174.929465]","[-36.9093147, 174.837989]",
8,"[-36.87610706, 174.8289359]","[-36.87888192, 174.8548393]","[-36.94480584, 174.8431184]",
9,"[-36.88106607, 174.9002827]","[-36.89585201, 174.9335377]","[-36.91713855, 174.8418202]",
10,"[-36.8568778, 174.6325126]","[-36.86353948, 174.6015834]","[-36.88287566, 174.6161793]","[-36.93739048, 174.6572984]"
11,"[-36.99174967, 174.8831931]","[-36.98676855, 174.8848148]","[-36.96987802, 174.8011202]",
12,"[-36.90955497, 174.6638042]","[-36.91087436, 174.6545496]","[-36.89776863, 174.69741]",
13,"[-36.86472278, 174.6476292]","[-36.88089456, 174.6332277]","[-36.84209292, 174.6542381]",
14,"[-36.82092949, 174.6146464]","[-36.81879206, 174.6129291]","[-36.90687152, 174.6850146]",
15,"[-37.06390487, 174.9447236]","[-37.06606311, 174.9556975]","[-36.99736985, 174.7888823]",
16,"[-36.79748845, 174.6487257]","[-36.92291876, 174.7023521]",,
17,"[-36.97039494, 174.862111]","[-36.97676671, 174.8972267]","[-36.9657908, 174.825346]",
18,"[-36.73941255, 174.7540551]","[-36.71714479, 174.7472772]","[-36.80035237, 174.7455338]",
19,"[-36.75907026, 174.7406941]","[-36.78148813, 174.7234262]","[-36.81111802, 174.7248776]",
20,"[-36.79125414, 174.7662056]","[-36.77197217, 174.7666177]","[-36.79667981, 174.7781249]",
21,"[-36.84358106, 174.7578066]","[-36.84350157, 174.7658662]","[-36.84496186, 174.7731192]","[-36.94250829, 174.7869875]"
